state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
CA,44,-35,-100,TRUE,-65,-56.745588626488924,D+65,D+57
CA,45,3,-4.102014812194341,FALSE,-7.102014812194341,1.1523965613167348,D+7,R+1
CA,46,-15,-38.29200356959355,FALSE,-23.292003569593547,-15.037592196082471,D+23,D+15
CA,47,-13,-29.710997303606646,FALSE,-16.710997303606646,-8.45658593009557,D+17,D+8
CA,48,4,-7.103984582813098,FALSE,-11.103984582813098,-2.8495732093020223,D+11,D+3
CA,49,1,-12.83801647290106,FALSE,-13.83801647290106,-5.583605099389985,D+14,D+6
CA,50,11,3.4309687848812516,FALSE,-7.569031215118748,0.6853801583923271,D+8,R+1
CA,51,-22,-42.40190342460411,FALSE,-20.401903424604107,-12.147492051093032,D+20,D+12
CA,52,-6,-27.694277500194246,FALSE,-21.694277500194246,-13.439866126683171,D+22,D+13
CA,53,-14,-38.14817295028908,FALSE,-24.14817295028908,-15.893761576778004,D+24,D+16
CO,1,-21,-50.76617625976148,FALSE,-29.76617625976148,-21.511764886250404,D+30,D+22
CO,2,-9,-26.638009911428803,FALSE,-17.638009911428803,-9.383598537917727,D+18,D+9
CO,3,6,7.965459904993921,FALSE,1.9654599049939208,10.219871278504996,R+2,R+10
CO,4,13,21.238588459394663,FALSE,8.238588459394663,16.49299983290574,R+8,R+16
CO,5,14,17.714206015899833,FALSE,3.7142060158998333,11.968617389410909,R+4,R+12
CO,6,-2,-11.231860029929337,FALSE,-9.231860029929337,-0.977448656418261,D+9,D+1
CO,7,-6,-25.007248392040374,FALSE,-19.007248392040374,-10.752837018529299,D+19,D+11
CT,1,-12,-25.582184285401617,FALSE,-13.582184285401617,-5.327772911890541,D+14,D+5
CT,2,-3,-22.543356599818765,FALSE,-19.543356599818765,-11.288945226307689,D+20,D+11
CT,3,-9,-24.994171825680233,FALSE,-15.994171825680233,-7.739760452169158,D+16,D+8
CT,4,-7,-23.780432503419185,FALSE,-16.780432503419185,-8.52602112990811,D+17,D+9
CT,5,-2,-10.254411373511076,FALSE,-8.254411373511076,0,D+8,0
DE,0,-6,-28.90793990990454,FALSE,-22.90793990990454,-14.653528536393466,D+23,D+15
FL,1,22,34.117274836532374,FALSE,12.117274836532374,20.37168621004345,R+12,R+20
FL,2,18,34.88266659448925,FALSE,16.88266659448925,25.137077968000327,R+17,R+25
